numElecteur,numCIN,nom,prenom,dateNaissance,lieuNaissance,sexe,bureauVote
EXD220936,0882455902546,GOMIS,Oumar,1961-09-13,SEDHIOU,F,ECOLE PRIMAIRE DE KEBEMER
FVI553864,5165361989069,WADE,Khady,1937-01-28,BAKEL,F,LYCEE SEYDOU NOUROU TALL - PLATEAU
OUG754381,1314776271304,MBENGUE,Sokhna,1945-05-12,VELINGARA,F,LYCEE DE KOUNGHEUL
NQI085473,6617385376970,DIARRA,Mamadou,1989-08-20,BAMBEY,M,UNIVERSITE GASTON BERGER - SAINT-LOUIS
HTL944591,8150601075775,FALL,Pape,1960-09-22,SEDHIOU,F,ECOLE PRIMAIRE DE KEBEMER
HHY322018,9396970107711,GUEYE,Coumba,1979-11-03,MATAM,M,ECOLE ELEMENTAIRE KAFFRINE CENTRE
NFT612912,5156882910586,MBENGUE,Pape,1972-06-23,LOUGA,M,ECOLE ELEMENTAIRE DIAKHAO
EPX473649,5650646448424,DIARRA,Omar,1943-05-17,ZIGUINCHOR,F,LYCEE MBACKE - TOUBA
OGC022826,5006332251832,GUEYE,Abdoulaye,2002-02-09,VELINGARA,F,LYCEE DE KEDOUGOU
WED475853,9851340617736,SOW,Daba,1959-02-18,KOLDA,M,LYCEE DJIGNABO - ZIGUINCHOR
SGM595770,0154124451497,DIA,Fatou,1962-02-10,THIES,F,LYCEE MALICK SY - THIES
JJZ352046,6203610409725,GOMIS,Modou,1973-07-13,KEDOUGOU,M,LYCEE DJIGNABO - ZIGUINCHOR
XAV118467,6375884134922,DIALLO,Astou,1993-10-01,NDIOUM,M,LYCEE DE MATAM
RSK836317,6684944764238,DIONE,Aliou,2001-03-27,FATICK,F,ECOLE ELEMENTAIRE TAMBACOUNDA CENTRE
AQV907248,0180172417553,BADJI,Ibrahima,2002-03-21,LOUGA,F,ECOLE ELEMENTAIRE CHEIKH TOURE - SAINT-LOUIS
URC790010,4042952198741,BA,Babacar,1960-09-23,KEDOUGOU,M,ECOLE ELEMENTAIRE LOUGA NORD
NCR499979,8193157692773,NDIAYE,Maguette,1941-05-18,PODOR,M,ECOLE ELEMENTAIRE HLM GRAND MEDINE
