numElecteur,numCIN,nom,prenom,dateNaissance,lieuNaissance,sexe,bureauVote
PFS898817,1433945011302,SECK,Daba,1975-06-10,DIOURBEL,M,ECOLE ELEMENTAIRE MEDINA BAYE
LPG723965,9805834733424,CAMARA,Sokhna,1944-09-24,BAMBEY,F,ECOLE ELEMENTAIRE TAMBACOUNDA CENTRE
DZP461177,3304618673739,DIAGNE,Ndeye,1995-08-16,DAGANA,M,UNIVERSITE GASTON BERGER - SAINT-LOUIS
FWU404840,7276911115125,MBENGUE,Mariama,1987-11-25,DAGANA,F,LYCEE MAME CHEIKH MBAYE - TAMBACOUNDA
CRU809587,8018825221370,NIANG,Sokhna,1990-10-23,DAKAR,M,ECOLE COMMUNALE DE NDOULO
NPG752905,5055428288504,DIARRA,Rokhaya,1950-06-01,MBACKE,M,ECOLE ELEMENTAIRE DIAKHAO
JTW272850,2460502489078,GOMIS,Coumba,1962-09-21,KEBEMER,F,ECOLE PRIMAIRE DE KEBEMER
KKO678283,0071876558586,DIONE,Sokhna,1998-01-03,KAFFRINE,F,ECOLE COMMUNALE DE KANEL
HDR299982,1824363252633,DIONE,Malick,2003-03-23,KOUNGHEUL,M,CENTRE CULTUREL - THIES
JXE904094,4348069072664,FAYE,Demba,1953-01-22,KEBEMER,M,ECOLE ELEMENTAIRE KAFFRINE CENTRE
RHT565720,1026536172532,BADJI,Khady,1984-04-02,TAMBACOUNDA,F,LYCEE DE KEDOUGOU
EID218044,3503099499719,MBODJ,Pape,1970-07-31,TOUBA,F,ECOLE ELEMENTAIRE DIOURBEL CENTRE
YOT027181,5527763253609,FAYE,Maguette,1998-07-17,NIORO DU RIP,F,ECOLE ELEMENTAIRE MEDINA BAYE
PKC694874,1221509935800,NDIAYE,Pape,2002-10-26,GOSSAS,F,LYCEE DE KOUNGHEUL
XDZ767394,1165420132393,DIAGNE,Rokhaya,1969-09-11,KAOLACK,F,LYCEE TANK - KOLDA
YFG843929,5274389814706,FALL,Binta,1984-12-06,MBOUR,F,ECOLE ELEMENTAIRE DIAKHAO
MVN953684,7348633393152,FALL,Samba,1964-03-21,MBACKE,F,ECOLE ELEMENTAIRE BANGO - SAINT-LOUIS
UXC893616,8121867763659,SAMB,Abdoulaye,1974-06-26,LOUGA,F,LYCEE MAME CHEIKH MBAYE - TAMBACOUNDA
GOT518943,2415095527627,TOURE,Awa,1980-10-29,NIORO DU RIP,F,LYCEE DJIGNABO - ZIGUINCHOR
GET935448,8563034765531,BA,Modou,1939-06-09,LINGUERE,M,LYCEE DE MATAM
OML782433,9402350216677,NDAO,Mamadou,1992-12-02,SEDHIOU,F,LYCEE MALICK SALL - LOUGA
TGY576186,8985730078684,SEYDI,Coumba,1982-10-26,KOUNGHEUL,F,LYCEE DJIGNABO - ZIGUINCHOR
UJT243684,9923646170626,GOMIS,Modou,1975-05-18,JOAL,F,ECOLE ELEMENTAIRE MEDINA BAYE
PHM262436,4155865276659,DIOUF,Aminata,1966-02-06,LINGUERE,F,ECOLE PRIMAIRE DE SALEMATA
FVT614930,0400558295117,DIAGNE,Seynabou,1991-08-06,VELINGARA,F,ECOLE SAMBA NDIAYE - FATICK
POV508023,8457601562691,SY,Binta,1943-07-16,LINGUERE,F,ECOLE COMMUNALE DE NDOULO
ZPB611198,1713256343195,DIALLO,Demba,1935-06-08,MATAM,M,ECOLE COMMUNALE DE NDOULO
XOD046171,0337383276524,NDAO,Mariama,1969-03-07,KOLDA,M,LYCEE MALICK SALL - LOUGA
OAK500591,4187894886574,MBAYE,Moussa,1981-07-10,MBOUR,F,ECOLE PRIMAIRE DE SALEMATA
KMW944656,8703074954795,BADJI,Ramatoulaye,1943-05-16,BAMBEY,M,COLLEGE SACRE-COEUR - DAKAR
JKJ976286,0503223492741,THIAM,Demba,2003-09-24,GUEDIAWAYE,F,LYCEE MAME CHEIKH MBAYE - TAMBACOUNDA
MPA967167,3925464502883,FALL,Oumar,1937-05-17,DIOURBEL,M,COLLEGE PRIVE DE FATICK
AQO312950,0667733015169,NDAO,Rama,1956-02-14,ZIGUINCHOR,F,COLLEGE SACRE-COEUR - DAKAR
FBB494736,2580295236514,DIOP,Aminata,1950-12-07,THIES,F,LYCEE DJIGNABO - ZIGUINCHOR
FFE894812,7479246246221,DIARRA,Awa,1958-04-30,THIES,F,ECOLE PRIMAIRE DE SALEMATA
RTX466109,7999310792542,SY,Astou,1979-12-12,NIORO DU RIP,F,LYCEE LIMAMOULAYE - GUEDIAWAYE
ORG939810,2329619508137,DIARRA,Samba,1936-03-31,DAGANA,M,ECOLE PRIMAIRE DE BIRKELANE
HAN222536,5685998401233,SAMB,Mariama,1946-12-14,KOLDA,F,ECOLE ELEMENTAIRE KAFFRINE CENTRE
VUK347394,4291192724756,DIOP,Coumba,2002-07-12,MATAM,M,ECOLE ELEMENTAIRE TAMBACOUNDA CENTRE
DLT476544,2241258830281,SY,Fatou,1961-03-05,GOSSAS,M,LYCEE DEPARTEMENTAL DE SEDHIOU
KGS995825,7944724325521,KA,Fallou,1962-03-04,DAGANA,F,ECOLE COMMUNALE DE NDOULO
RZS439642,8700444629881,MBAYE,Fode,1940-12-03,KEDOUGOU,M,ECOLE SAMBA NDIAYE - FATICK
OZY548359,1743664402289,BA,Modou,1986-05-25,THIES,F,LYCEE DE KEDOUGOU
DWF112921,5304106958870,LO,Fode,2004-07-21,BAMBEY,F,ECOLE ELEMENTAIRE TAMBACOUNDA CENTRE
OJF500448,2842377954838,TOURE,Idrissa,1976-01-24,TOUBA,F,ECOLE MARIAMA NIASS - GRAND DAKAR
UAP055981,2353559736774,NDAO,Fatou,1947-01-26,ZIGUINCHOR,M,ECOLE NEMA - ZIGUINCHOR
NBE653111,4180472247211,MBENGUE,Ramatoulaye,1999-09-23,VELINGARA,F,ECOLE PRIMAIRE DE BIRKELANE
DNG779949,2004471190468,GUEYE,Aminata,1963-07-11,PODOR,M,LYCEE DE KEDOUGOU
TPA889085,0081537412459,CISSE,Ramatoulaye,1969-09-04,GOSSAS,M,ECOLE ELEMENTAIRE BANDAFASSI
PWC174058,4167396224108,SY,Fode,1967-08-25,MEKHE,M,ECOLE ELEMENTAIRE BANDAFASSI
VHJ895614,7715032012648,DIALLO,Moussa,1982-01-10,LINGUERE,F,ECOLE ELEMENTAIRE SIKILO - KOLDA
PXE544574,1004941184474,SY,Samba,1986-11-01,ZIGUINCHOR,F,LYCEE SEYDOU NOUROU TALL - PLATEAU
GGP999037,3324873921531,NIANG,Ramatoulaye,1983-12-12,FATICK,F,LYCEE VALDIODIO NDIAYE - KAOLACK
FCO787855,1263090511915,CAMARA,Ndeye,1986-05-07,DAKAR,M,CENTRE CULTUREL - THIES
XBY264217,6456076489953,DIOP,Oumar,1999-01-09,PIKINE,M,ECOLE NEMA - ZIGUINCHOR
ULP350063,1918781634301,BADJI,Aliou,1958-05-09,RUFISQUE,F,LYCEE MAME CHEIKH MBAYE - TAMBACOUNDA
FFJ205057,3175683808098,DIAGNE,Coumba,1939-02-28,KAOLACK,M,ECOLE POINT E - FANN
QPV399415,5601696763664,SARR,Awa,2007-02-02,MBACKE,M,ECOLE COMMUNALE DE BAKEL
BCC403266,5037032006244,FAYE,Mansour,1978-04-23,ZIGUINCHOR,M,ECOLE PRIMAIRE DE SALEMATA
KYT750535,6629549703180,MBENGUE,Mame,1956-11-22,THIES,M,CENTRE CULTUREL - THIES
ZHE398986,1538067503576,NDIAYE,Mame,1942-09-26,DAGANA,M,LYCEE DEPARTEMENTAL DE SEDHIOU
DYC388041,3043808171279,BADJI,Ndeye,1961-12-22,GUEDIAWAYE,M,LYCEE VALDIODIO NDIAYE - KAOLACK
QGC149021,9168938887837,SANE,Mariama,1983-11-20,MBOUR,F,ECOLE ELEMENTAIRE SIKILO - KOLDA
EVO169683,9153301573843,THIAM,Babacar,1941-04-22,FATICK,F,ECOLE ELEMENTAIRE LOUGA NORD
UNE759940,1767501479012,GOMIS,Ramatoulaye,1942-04-18,BAMBEY,F,ECOLE COMMUNALE DE NDOULO
EED413474,4150947628978,DIALLO,Fatou,1991-01-10,KEBEMER,F,ECOLE PRIMAIRE DE VELINGARA
UCP090766,9402984854938,DIONE,Babacar,1951-05-11,JOAL,M,LYCEE MAME CHEIKH MBAYE - TAMBACOUNDA
SBJ272737,5994182920260,SAMB,Daba,1943-10-21,THIES,M,LYCEE MALICK SALL - LOUGA
PCF962663,3391777965057,KA,Maguette,1962-02-07,KAFFRINE,F,ECOLE COMMUNALE DE KANEL
HNP392749,6818659787812,DIOUF,Maguette,1944-05-21,THIES,F,ECOLE PRIMAIRE DE GOUDOMP
SHE436884,6297531488688,LY,Mamadou,1988-08-23,DAGANA,M,ECOLE ELEMENTAIRE BANDAFASSI
EEH202027,7518963688615,DIOP,Aissatou,1972-10-18,GUEDIAWAYE,F,COLLEGE PRIVE DE FATICK
IHY058083,1658034494166,BA,Oumar,1985-01-09,JOAL,F,ECOLE COMMUNALE DE NDOULO
AYF635024,3617724406412,NIANG,Rama,1987-03-11,MBOUR,F,ECOLE ELEMENTAIRE OUROSSOGUI
XKM020775,3715733570644,MBAYE,Aminata,1953-01-14,KEDOUGOU,F,ECOLE ELEMENTAIRE DIOURBEL CENTRE
BOK195300,5055886639503,MBAYE,Seynabou,2005-01-23,THIES,F,ECOLE COMMUNALE DE BAKEL
JXI751365,4033976760485,KA,Mamadou,1996-09-22,SEDHIOU,F,ECOLE ELEMENTAIRE DIOURBEL CENTRE
CIW541442,3392497889860,MBENGUE,Mamadou,1970-01-01,GOSSAS,F,ECOLE ELEMENTAIRE TAMBACOUNDA CENTRE
ETA875090,6014037672751,BA,Aliou,1948-05-08,FATICK,F,ECOLE ELEMENTAIRE CHEIKH TOURE - SAINT-LOUIS
ZLX225251,6745447447979,BADJI,Coumba,1945-05-30,KAFFRINE,M,ECOLE ELEMENTAIRE OUROSSOGUI
QOE282661,5114730872524,LY,Sokhna,2004-11-24,ZIGUINCHOR,F,ECOLE ELEMENTAIRE DIAKHAO
LJW637249,2139564360911,NDIAYE,Fallou,1943-05-12,VELINGARA,M,ECOLE MARIAMA NIASS - GRAND DAKAR
ZGR893522,2359836566373,SALL,Daba,1972-01-18,GUEDIAWAYE,M,ECOLE ELEMENTAIRE CHEIKH TOURE - SAINT-LOUIS
RMP785980,7418826544426,SECK,Aminata,2006-01-30,KOUNGHEUL,M,ECOLE ELEMENTAIRE BANGO - SAINT-LOUIS
FPX459110,4728957314612,DIOUF,Babacar,1940-06-28,SAINT-LOUIS,F,LYCEE MALICK SALL - LOUGA
RTH688787,3904509241701,TOURE,Rokhaya,1973-08-10,VELINGARA,F,LYCEE DE MATAM
