numElecteur,numCIN,nom,prenom,dateNaissance,lieuNaissance,sexe,bureauVote
NIK992173,3751246038826,SOW,Ndeye,1986-04-18,KÉBÉMER,M,ECOLE ELEMENTAIRE BANDAFASSI
ECH343420,0131437467180,DIA,Idrissa,1996-02-23,KÉBÉMER,F,COLLEGE PRIVE DE FATICK
SXJ591475,6957610455159,WADE,Aminata,1955-06-27,TAMBACOUNDA,F,LYCEE MBACKE - TOUBA
WXT581008,7689087689704,DIOP,Pape,1977-09-25,GOSSAS,F,ECOLE ELEMENTAIRE SEDHIOU CENTRE
TGD989799,9861075901239,DIA,Oumar,1959-09-02,PIKINE,M,ECOLE COMMUNALE DE NDOULO
KEO790904,9017170279947,SY,Ramatoulaye,1975-03-05,MÉKHÉ,M,ECOLE ELEMENTAIRE BANDAFASSI
ODC924247,0037918164440,NDAO,Demba,2000-04-14,GUÉDIAWAYE,M,ECOLE PRIMAIRE DE SALEMATA
DSU876965,4293300865378,KA,Awa,2005-05-03,GOSSAS,F,ECOLE ELEMENTAIRE TAMBACOUNDA CENTRE
DJF067152,5113538790646,SECK,Ousmane,1974-12-06,ZIGUINCHOR,F,ECOLE PRIMAIRE DE GOUDOMP
CXG490026,4942071452665,MBAYE,Rokhaya,1994-01-01,RUFISQUE,F,LYCEE LIMAMOULAYE - GUEDIAWAYE
QYS826485,6252300776572,SEYDI,Awa,1950-07-18,TIVAOUANE,F,ECOLE SAMBA NDIAYE - FATICK
BOA111442,3967502522007,CAMARA,Astou,1947-08-09,DAKAR,M,ECOLE PRIMAIRE DE KEBEMER
ZZX892006,4126238942517,SARR,Aliou,1979-05-23,NIORO DU RIP,F,ECOLE PRIMAIRE DE GOUDOMP
GAK294381,4801912900396,BA,Fallou,1954-02-04,PIKINE,F,ECOLE ELEMENTAIRE SIKILO - KOLDA
XHG940363,3421319453105,THIAM,Sokhna,1940-05-12,FATICK,M,UNIVERSITE GASTON BERGER - SAINT-LOUIS
OTM399834,8411117803637,CISSE,Moussa,1986-05-05,THIÈS,M,ECOLE SAMBA NDIAYE - FATICK
VXS846803,9339200608995,CAMARA,Cheikh,1943-09-14,MBOUR,F,LYCEE VALDIODIO NDIAYE - KAOLACK
KRP989918,0839470064348,FALL,Abdoulaye,1937-08-13,KOLDA,M,ECOLE ELEMENTAIRE DIOURBEL CENTRE
BWN387531,1310865927676,DIOUF,Mame,1948-01-08,TIVAOUANE,M,LYCEE MALICK SY - THIES
VKQ031857,3652565466464,SY,Aïssatou,1969-12-24,KOLDA,M,LYCEE MAME CHEIKH MBAYE - TAMBACOUNDA
FFX923645,6774617487002,CAMARA,Abdoulaye,2004-11-07,TIVAOUANE,F,ECOLE ELEMENTAIRE SIKILO - KOLDA
PIF189255,5532992762666,DIALLO,Ousmane,1966-04-13,KAFFRINE,F,ECOLE SERIGNE BASSIROU MBACKE - KAOLACK
WQD637826,0413672419416,CAMARA,Maguette,1986-04-03,TIVAOUANE,F,ECOLE ELEMENTAIRE SEDHIOU CENTRE
COW946450,9028151672058,TOURE,Ousmane,1969-06-28,LINGUÈRE,M,LYCEE DEPARTEMENTAL DE SEDHIOU
CTZ165476,1420341694507,TOURE,Samba,1993-05-06,SÉDHIOU,F,ECOLE ELEMENTAIRE TAMBACOUNDA CENTRE
BLI052410,3596727559299,SEYDI,Cheikh,1990-09-27,ZIGUINCHOR,F,ECOLE ELEMENTAIRE SEDHIOU CENTRE
IWY971606,5547444018472,DIOP,Ousmane,1979-01-16,KOLDA,M,LYCEE VALDIODIO NDIAYE - KAOLACK
ZYB715042,7710113765560,NIANG,Khady,1948-08-02,VÉLINGARA,F,ECOLE POINT E - FANN
AGT705398,1642471788569,MBODJ,Coumba,1949-07-25,LINGUÈRE,M,LYCEE DE KEDOUGOU
MSK382915,3176430530488,WADE,Sokhna,1939-02-02,KÉBÉMER,M,ECOLE ELEMENTAIRE TAMBACOUNDA CENTRE
CAA090645,6629259351501,MBAYE,Ramatoulaye,1968-04-13,TIVAOUANE,F,ECOLE MARIAMA NIASS - GRAND DAKAR
FVH683673,6969540121214,NDAO,Moussa,1954-08-11,KÉBÉMER,F,ECOLE ELEMENTAIRE SEDHIOU CENTRE
LZV629882,1832831837818,FALL,Omar,1961-01-18,SÉDHIOU,M,LYCEE DE KEDOUGOU
TCP441061,1165021493688,GOMIS,Cheikh,1993-07-25,PODOR,F,ECOLE ELEMENTAIRE SIKILO - KOLDA
IFL159218,1749375171892,DIONE,Rokhaya,1992-10-31,KOUNGHEUL,F,ECOLE SAMBA NDIAYE - FATICK
FJE670394,2894241214204,SARR,Mame,1962-05-21,KÉDOUGOU,F,ECOLE ELEMENTAIRE RANDOULENE - THIES
YZU837520,3358341642461,SAMB,Ndeye,1951-03-20,KAOLACK,M,LYCEE SEYDOU NOUROU TALL - PLATEAU
HLT478842,3087166851180,LY,Oumar,1944-06-12,KOLDA,F,ECOLE ELEMENTAIRE HLM GRAND MEDINE
VWU976685,5236603618308,DIALLO,Ramatoulaye,1951-06-14,VÉLINGARA,F,LYCEE DE KOUNGHEUL
DBB800521,8729403628624,BADJI,Awa,2003-02-02,LOUGA,F,ECOLE ELEMENTAIRE DIAKHAO
QYD696544,2761574300733,SEYDI,Mansour,1963-10-24,PODOR,M,ECOLE ELEMENTAIRE TAMBACOUNDA CENTRE
WPU821878,3279249923082,CISSE,Daba,1974-01-25,LOUGA,F,ECOLE ELEMENTAIRE KAFFRINE CENTRE
ZAX285513,5666881761761,LO,Fatou,2002-01-15,TAMBACOUNDA,F,ECOLE SERIGNE BASSIROU MBACKE - KAOLACK
TIS003321,4423149841257,DIOUF,Samba,1986-09-26,LINGUÈRE,F,ECOLE ELEMENTAIRE HLM GRAND MEDINE
LDZ246048,6706928262688,SEYDI,Coumba,1968-06-19,JOAL,F,CENTRE CULTUREL - THIES
JKI860179,0234978330045,TOURE,Khady,1974-01-25,KAOLACK,F,ECOLE POINT E - FANN
